2017-12-19,0.95%
2017-12-20,0.73%
2017-12-21,1.27%
2017-12-22,0.42%
2017-12-25,1.27%
2017-12-26,1.01%
2017-12-27,1.11%
2017-12-28,1.23%
2017-12-29,0.47%
2018-01-02,1.06%
2018-01-03,1.03%
2018-01-04,0.82%
2018-01-05,0.64%
2018-01-08,0.83%
2018-01-09,0.4%
2018-01-10,0.92%
2018-01-11,0.61%
2018-01-12,0.51%
2018-01-15,1.17%
2018-01-16,1.04%
2018-01-17,1.01%
2018-01-18,0.81%
2018-01-19,0.69%
2018-01-22,0.79%
2018-01-23,1.22%
2018-01-24,1.19%
2018-01-25,1.22%
2018-01-26,1.15%
2018-01-29,2.16%
2018-01-30,1.09%
2018-01-31,1.17%
2018-02-01,2.03%
2018-02-02,2.16%
2018-02-05,2.35%
2018-02-06,2.18%
2018-02-07,3.61%
2018-02-08,2.46%
2018-02-09,3.6%
2018-02-12,1.74%
2018-02-13,1.37%
2018-02-14,1.01%
2018-02-22,1.12%
2018-02-23,1.09%
2018-02-26,1.65%
2018-02-27,1.32%
2018-02-28,1.15%
2018-03-01,1.58%
2018-03-02,0.85%
2018-03-05,1%
2018-03-06,1.43%
2018-03-07,1.33%
2018-03-08,0.85%
2018-03-09,0.8%
2018-03-12,0.61%
2018-03-13,0.8%
2018-03-14,0.53%
2018-03-15,0.73%
2018-03-16,0.95%
2018-03-19,0.9%
2018-03-20,1.22%
2018-03-21,1.38%
2018-03-22,1.4%
2018-03-23,2.38%
2018-03-26,1.36%
2018-03-27,0.93%
2018-03-28,1.51%
2018-03-29,2.44%
2018-03-30,0.79%
2018-04-02,1.02%
2018-04-03,0.8%
2018-04-04,1.1%
2018-04-09,1.14%
2018-04-10,1.64%
2018-04-11,0.92%
2018-04-12,0.88%
2018-04-13,1.33%
2018-04-16,1.8%
2018-04-17,1.76%
2018-04-18,1.8%
2018-04-19,1.2%
2018-04-20,1.45%
2018-04-23,1.27%
2018-04-24,2.16%
2018-04-25,0.51%
2018-04-26,1.73%
2018-04-27,1.24%
2018-05-02,1.07%
2018-05-03,1.61%
2018-05-04,0.56%
2018-05-07,1.46%
2018-05-08,1.14%
2018-05-09,0.62%
2018-05-10,0.65%
2018-05-11,0.58%
2018-05-14,0.64%
2018-05-15,0.89%
2018-05-16,0.79%
2018-05-17,0.76%
2018-05-18,1.54%
2018-05-21,0.51%
2018-05-22,0.7%
2018-05-23,1.13%
2018-05-24,0.68%
2018-05-25,0.81%
2018-05-28,1.07%
2018-05-29,0.99%
2018-05-30,1.42%
2018-05-31,1.44%
2018-06-01,1.37%
2018-06-04,0.7%
2018-06-05,1.12%
2018-06-06,0.45%
2018-06-07,0.74%
2018-06-08,1.52%
2018-06-11,0.84%
2018-06-12,1.55%
2018-06-13,0.89%
2018-06-14,1.1%
2018-06-15,1.32%
2018-06-19,3.76%
2018-06-20,1.84%
2018-06-21,2.33%
2018-06-22,1.91%
2018-06-25,1.76%
